Site,Plot,Pos,plant_ID,clone_ID,Tag_ID,slide_ID,grid_loc,Total_A_mm2,Visible_A_mm2,total_hy,A_hy_mm2,L_mm,D_L
BFL,7,4,110-44L-10,AF,2418,A4,B7,0.676,0.651,0,0,0,0
BFL,7,4,110-44L-10,AF,2418,A4,D4,1.124,1.124,3,1.05E-03,0.289,0.257117438
BFL,7,4,110-44L-10,AF,2418,A4,C4,0.966,0.657,0,0,0,0
BFL,7,4,110-44L-10,AF,2418,A4,D2,0.953,0.515,0,0,0,0
BFL,7,4,110-44L-10,AF,2418,A4,F1,0.891,0.724,0,0,0,0
BFL,7,4,110-44L-10,AF,2418,A4,C2,1.098,1.045,0,0,0,0
BFL,7,4,110-44L-10,AF,2418,A4,D8,0.947,0.947,3,1.25E-03,0.517,0.54593453
BFL,7,4,110-44L-10,AF,2418,A4,F8,1.126,1.126,7,1.10E-03,0.461,0.409413854
BFL,5,15,109-19A-25,AG,2459,A5,B3,1.278,1.2,2,1.02E-02,1.966,1.638333333
BFL,5,15,109-19A-25,AG,2459,A5,D1,1.826,1.826,4,4.71E-03,0.658,0.360350493
BFL,5,15,109-19A-25,AG,2459,A5,D3,1.106,1.036,0,0,0,0
BFL,5,15,109-19A-25,AG,2459,A5,B5,1.341,0.674,0,0,0,0
BFL,5,15,109-19A-25,AG,2459,A5,D7,1.036,0.377,2,8.00E-03,1.261,3.344827586
BFL,5,15,109-19A-25,AG,2459,A5,A3,1.707,1.707,2,2.17E-03,0.438,0.25659051
BFL,5,15,109-19A-25,AG,2459,A5,C3,1.282,1.235,7,8.18E-03,1.886,1.527125506
BFL,5,15,109-19A-25,AG,2459,A5,C1,1.255,1.255,1,6.06E-05,0.026,0.020717131
BFL,5,15,109-19A-25,AG,2459,A5,D5,2.062,2.062,2,4.35E-03,1.227,0.595053346
BFL,5,15,109-19A-25,AG,2459,A5,C7,2.093,1.869,0,0,0,0
BAS,3,15,238,AM,2342,B1,D8,0.917,0.736,5,1.26E-03,0.557,0.756793478
BAS,3,15,238,AM,2342,B1,B2,1.396,0.9,0,0,0,0
BAS,3,15,238,AM,2342,B1,E5,0.75,0.581,2,2.69E-04,0.115,0.197934596
BAS,3,15,238,AM,2342,B1,D3,0.898,0.898,0,0,0,0
BAS,3,15,238,AM,2342,B1,D5,0.955,0.554,0,0,0,0
BAS,3,15,238,AM,2342,B1,B1,1.228,0.9,1,3.63E-04,0.159,0.176666667
BAS,3,15,238,AM,2342,B1,C8,1.295,0.793,0,0,0,0
BAS,3,15,238,AM,2342,B1,D2,1.026,0.835,1,2.33E-04,0.06,0.071856287
BAS,3,15,238,AM,2342,B1,C2,1.2,0.829,1,5.09E-04,0.127,0.153196622
BAS,3,15,238,AM,2342,B1,C1,1.064,1.064,0,0,0,0
BAS,5,14,239,AK,2091,B2,B1,1.514,1.514,5,4.53E-03,1.485,0.980845443
BAS,5,14,239,AK,2091,B2,D2,0.789,0.789,0,0,0,0
