Tag_ID,Tiller_23,Inf_23,Spikelet_A,Spikelet_B,Spikelet_C,tiller_Herb
2455,4,0,NA,NA,NA,4
2456,3,3,23,13,7,3
2457,3,1,NA,NA,NA,3
2458,4,2,NA,NA,NA,4
2459,3,2,17,NA,NA,3
2501,7,0,NA,NA,NA,7
2502,4,2,19,17,NA,4
2503,3,0,NA,NA,NA,3
2504,3,0,NA,NA,NA,3
2505,3,0,NA,NA,NA,3
2506,1,1,21,NA,NA,0
2507,3,3,NA,NA,NA,0
2508,7,0,NA,NA,NA,0
2509,2,1,NA,NA,NA,0
2510,4,3,15,15,19,3
2511,3,2,NA,NA,NA,1
2512,1,1,33,NA,NA,1
2513,1,1,NA,NA,NA,1
2514,4,0,NA,NA,NA,2
2515,7,0,NA,NA,NA,0
2516,3,2,NA,NA,NA,1
2517,1,1,NA,NA,NA,0
2518,8,0,NA,NA,NA,2
2519,11,0,NA,NA,NA,2
2520,4,3,NA,NA,NA,2
2521,3,0,NA,NA,NA,0
2522,3,1,7,NA,NA,3
2523,4,3,11,7,13,4
2524,6,0,NA,NA,NA,6
2525,8,0,NA,NA,NA,8
2526,7,1,NA,NA,NA,6
2527,2,0,NA,NA,NA,2
2528,1,1,NA,NA,NA,1
2529,6,0,NA,NA,NA,5
2530,3,0,NA,NA,NA,0
2531,17,0,NA,NA,NA,4
2532,3,1,19,NA,NA,3
2533,14,0,NA,NA,NA,11
2534,4,0,NA,NA,NA,3
2535,6,0,NA,NA,NA,6
2536,1,0,NA,NA,NA,1
2537,5,0,NA,NA,NA,1
2538,1,0,NA,NA,NA,0
2539,3,0,NA,NA,NA,3
2540,1,0,NA,NA,NA,1
2541,1,0,NA,NA,NA,0
2542,2,0,NA,NA,NA,0
2543,3,0,NA,NA,NA,0
2544,1,1,NA,NA,NA,0
2545,3,2,14,7,NA,0
2546,3,3,NA,NA,NA,0
2547,7,0,NA,NA,NA,5
2548,2,2,22,16,NA,0
2549,12,0,NA,NA,NA,0
2550,6,4,NA,NA,NA,0
2551,3,3,NA,NA,NA,0
2552,1,1,NA,NA,NA,0
2553,4,0,NA,NA,NA,0
2554,1,1,NA,NA,NA,0
2555,2,2,16,18,NA,0
2556,3,0,NA,NA,NA,0
2557,4,4,NA,NA,NA,0
